og_coord,starfish_coord,dist
"(6596, 6366)","(6590.0, 6349.0)",18.028
"(1881, 1080)","(1894.0, 1050.0)",32.696
"(5234, 5490)","(5273.0, 5501.0)",40.522
"(2584, 1700)","(2555.0, 1732.0)",43.186
"(2837, 2028)","(2796.0, 2042.0)",43.324
"(2495, 2213)","(2455.0, 2193.0)",44.721
"(2191, 1871)","(2154.0, 1899.0)",46.4
"(4150, 5262)","(4100.0, 5269.0)",50.488
"(5292, 5452)","(5273.0, 5501.0)",52.555
"(4853, 5085)","(4874.0, 5139.0)",57.94
"(3460, 3826)","(3481.0, 3880.0)",57.94
"(2117, 1535)","(2157.0, 1493.0)",58.0
"(3757, 3380)","(3745.0, 3445.0)",66.098
"(2855, 2074)","(2796.0, 2042.0)",67.119
"(3544, 4214)","(3605.0, 4258.0)",75.213
"(7726, 7170)","(7648.0, 7188.0)",80.05
"(7272, 7127)","(7359.0, 7126.0)",87.006
"(5697, 5539)","(5786.0, 5555.0)",90.427
"(6580, 6251)","(6590.0, 6349.0)",98.509
"(4955, 5745)","(5046.0, 5705.0)",99.403
"(7314, 6573)","(7350.0, 6477.0)",102.528
"(6587, 6814)","(6689.0, 6780.0)",107.517
"(2932, 3122)","(2985.0, 3218.0)",109.659
"(7751, 7415)","(7761.0, 7525.0)",110.454
"(5364, 5564)","(5273.0, 5501.0)",110.68
"(5166, 5332)","(5232.0, 5421.0)",110.802
"(3517, 4059)","(3478.0, 3951.0)",114.826
"(2298, 1607)","(2389.0, 1679.0)",116.039
"(5097, 4874)","(4985.0, 4910.0)",117.644
"(2040, 1514)","(2157.0, 1493.0)",118.87
"(4255, 4304)","(4138.0, 4282.0)",119.05
"(6235, 5943)","(6305.0, 6048.0)",126.194
"(2036, 1529)","(2157.0, 1493.0)",126.242
"(7714, 7643)","(7761.0, 7525.0)",127.016
"(4746, 4908)","(4773.0, 4776.0)",134.733
"(3529, 3754)","(3481.0, 3880.0)",134.833
"(7770, 7248)","(7648.0, 7188.0)",135.956
"(5039, 5035)","(4985.0, 4910.0)",136.165
"(7771, 7251)","(7648.0, 7188.0)",138.196
"(3633, 4120)","(3605.0, 4258.0)",140.812
"(3881, 3499)","(3738.0, 3474.0)",145.169
"(7152, 7392)","(7213.0, 7260.0)",145.413
"(3955, 5293)","(4100.0, 5269.0)",146.973
"(7778, 7118)","(7648.0, 7188.0)",147.648
"(4221, 4921)","(4210.0, 5069.0)",148.408
"(6425, 6444)","(6276.0, 6498.0)",158.483
"(6430, 7007)","(6591.0, 7019.0)",161.447
"(6345, 5777)","(6479.0, 5681.0)",164.839
"(3157, 3575)","(3320.0, 3612.0)",167.147
"(7508, 7385)","(7462.0, 7546.0)",167.443
"(7649, 7651)","(7761.0, 7525.0)",168.582
"(4891, 4654)","(4773.0, 4776.0)",169.729
"(6750, 6507)","(6633.0, 6383.0)",170.485
"(6646, 6608)","(6689.0, 6780.0)",177.294
"(5049, 5083)","(4874.0, 5139.0)",183.742
"(6553, 5854)","(6479.0, 5681.0)",188.162
"(6204, 6322)","(6276.0, 6498.0)",190.158
"(7011, 6392)","(7140.0, 6532.0)",190.371
"(3797, 4251)","(3605.0, 4258.0)",192.128
"(2694, 1872)","(2869.0, 1955.0)",193.685
"(7080, 6340)","(7140.0, 6532.0)",201.157
"(6069, 6533)","(6276.0, 6498.0)",209.938
"(1798, 1433)","(1938.0, 1273.0)",212.603
"(5186, 4990)","(4985.0, 4910.0)",216.335
"(3217, 3419)","(3320.0, 3612.0)",218.765
"(7778, 7012)","(7648.0, 7188.0)",218.806
"(3758, 3692)","(3738.0, 3474.0)",218.916
"(7120, 6313)","(7140.0, 6532.0)",219.911
"(7363, 6735)","(7257.0, 6945.0)",235.236
"(3860, 4277)","(3922.0, 4046.0)",239.176
"(1340, 628)","(1554.0, 772.0)",257.938
"(7445, 6767)","(7257.0, 6945.0)",258.898
"(6154, 6740)","(6276.0, 6498.0)",271.013
"(6049, 6349)","(6276.0, 6498.0)",271.533
"(6066, 5855)","(5894.0, 5606.0)",302.63
"(4577, 4342)","(4398.0, 4089.0)",309.919
"(4664, 4262)","(4398.0, 4089.0)",317.309
"(8013, 7243)","(7648.0, 7188.0)",369.121
"(2468, 2575)","(2455.0, 2193.0)",382.221
"(4229, 4670)","(4138.0, 4282.0)",398.529
"(3305, 2682)","(2912.0, 2570.0)",408.648
"(3713, 2994)","(3745.0, 3445.0)",452.134
