og_coord,starfish_coord,dist
"(4137, 4683)","(3668328.0, 4160280.0)",5616.6
"(3636, 3546)","(3222552.0, 3127536.0)",22200.0
"(6683, 6078)","(5948712.0, 5374176.0)",27109.752
"(2465, 1215)","(2178264.0, 1104672.0)",27869.88
"(5223, 4946)","(4652232.0, 4418688.0)",30192.0
"(2972, 2158)","(2614272.0, 1891440.0)",35163.024
"(5456, 5406)","(4858248.0, 4847592.0)",48912.816
"(4349, 4479)","(3873456.0, 4025304.0)",49322.184
"(5056, 4721)","(4457760.0, 4234872.0)",53280.0
"(3129, 2519)","(2731488.0, 2209344.0)",54523.2
"(1670, 1093)","(1427904.0, 991896.0)",59036.904
"(6478, 5817)","(5808408.0, 5137968.0)",62350.032
"(7929, 6962)","(7056936.0, 6242640.0)",62463.696
"(7129, 6859)","(6327888.0, 6156504.0)",65766.168
"(4243, 4251)","(3782880.0, 3709176.0)",67424.064
"(7711, 7215)","(6810072.0, 6349200.0)",68721.432
"(6740, 6118)","(5948712.0, 5374176.0)",68995.824
"(7919, 7110)","(7056936.0, 6242640.0)",75265.104
"(3928, 4416)","(3533352.0, 3982680.0)",76192.176
"(7501, 7230)","(6578304.0, 6395376.0)",86246.112
"(4485, 4379)","(4003104.0, 3803304.0)",87660.696
"(7687, 7392)","(6758568.0, 6506376.0)",88804.44
"(4186, 4245)","(3782880.0, 3709176.0)",89243.112
"(3696, 3439)","(3222552.0, 3127536.0)",94721.184
"(1464, 868)","(1206792.0, 753024.0)",94916.544
"(7725, 7334)","(6758568.0, 6506376.0)",101422.92
"(4965, 4876)","(4457760.0, 4234872.0)",106833.504
"(6522, 6240)","(5779992.0, 5648568.0)",108066.048
"(6757, 6161)","(5948712.0, 5374176.0)",109642.248
"(7648, 7601)","(6717720.0, 6665328.0)",112022.088
"(2007, 1613)","(1705848.0, 1520256.0)",116449.656
"(2676, 2895)","(2468640.0, 2648016.0)",120404.808
"(5318, 5689)","(4831608.0, 5107776.0)",122718.048
"(3924, 4613)","(3533352.0, 3982680.0)",123712.608
"(4957, 5380)","(4326336.0, 4675320.0)",126986.664
"(6214, 6908)","(5508264.0, 6006432.0)",128244.96
"(5572, 4922)","(4838712.0, 4439112.0)",128861.232
"(3862, 4008)","(3548448.0, 3504936.0)",130741.128
"(5188, 4832)","(4652232.0, 4418688.0)",135655.32
"(6586, 6222)","(5779992.0, 5648568.0)",141104.976
"(6798, 5921)","(5948712.0, 5374176.0)",145810.488
"(5082, 5745)","(4590960.0, 4977240.0)",146839.68
"(2736, 1797)","(2277720.0, 1593960.0)",151858.656
"(5964, 5991)","(5315568.0, 5169048.0)",152219.184
"(3420, 3808)","(3083136.0, 3530688.0)",156167.232
"(3972, 4762)","(3668328.0, 4160280.0)",156877.632
"(4889, 5085)","(4326336.0, 4675320.0)",160551.288
"(8062, 7175)","(7056936.0, 6242640.0)",164340.384
"(6933, 6529)","(6116544.0, 5963808.0)",170796.144
"(2380, 2003)","(2202240.0, 1630368.0)",172850.088
"(3232, 3672)","(2875344.0, 3434784.0)",174129.696
"(2116, 1686)","(1705848.0, 1520256.0)",174692.688
"(4875, 4620)","(4457760.0, 4234872.0)",184623.192
"(4333, 3980)","(3782880.0, 3709176.0)",186559.92
"(4260, 4854)","(3668328.0, 4160280.0)",188795.904
"(7813, 6863)","(7056936.0, 6242640.0)",190133.232
"(4682, 4686)","(3966696.0, 4162944.0)",190927.992
"(3838, 3462)","(3222552.0, 3127536.0)",193088.496
"(5046, 5131)","(4326336.0, 4675320.0)",195020.784
"(2266, 1948)","(1910976.0, 1896768.0)",195239.232
"(4953, 4558)","(4457760.0, 4234872.0)",196587.216
"(6247, 6982)","(5508264.0, 6006432.0)",197487.648
"(7113, 6534)","(6223104.0, 5984232.0)",204529.488
"(2501, 1519)","(2180928.0, 1554000.0)",208983.696
"(2796, 2613)","(2708400.0, 2364744.0)",229880.112
"(2125, 1872)","(1705848.0, 1520256.0)",230222.88
"(2202, 1803)","(2180928.0, 1554000.0)",230410.248
"(3831, 4151)","(3548448.0, 3504936.0)",232989.888
"(4986, 4502)","(4457760.0, 4234872.0)",239010.528
"(3212, 2179)","(2614272.0, 1891440.0)",241929.384
"(1948, 1434)","(1705848.0, 1520256.0)",248025.504
"(4917, 4502)","(4457760.0, 4234872.0)",254126.064
"(6869, 6293)","(5948712.0, 5374176.0)",261893.4
"(3342, 2340)","(2731488.0, 2209344.0)",270308.088
"(7811, 6756)","(7056936.0, 6242640.0)",271634.76
"(4746, 4479)","(4003104.0, 3803304.0)",273786.384
"(3862, 3310)","(3222552.0, 3127536.0)",279731.544
"(2612, 2707)","(2468640.0, 2648016.0)",286163.328
"(7741, 6782)","(7056936.0, 6242640.0)",286288.536
"(2264, 2498)","(1910976.0, 1896768.0)",336489.84
"(2584, 2645)","(2468640.0, 2648016.0)",346189.464
"(7498, 6690)","(6327888.0, 6156504.0)",394568.592
