og_coord,starfish_coord,dist
"(6715.056, 6052.608)","(5948712.0, 5374176.0)",14268.384
"(7238.088, 7387.272)","(6445992.0, 6561432.0)",18632.904
"(5214.336, 5338.656)","(4610496.0, 4743696.0)",20055.48
"(5172.6, 5310.24)","(4610496.0, 4743696.0)",33047.808
"(5629.032, 5827.056)","(4963920.0, 5179704.0)",35060.016
"(2996.112, 2148.96)","(2614272.0, 1891440.0)",49243.152
"(7890.768, 7040.064)","(7056936.0, 6242640.0)",50727.0
"(5185.032, 5280.936)","(4610496.0, 4743696.0)",54576.48
"(5245.416, 5310.24)","(4610496.0, 4743696.0)",55184.76
"(2848.704, 2978.352)","(2468640.0, 2648016.0)",61095.288
"(4331.664, 4164.72)","(3782880.0, 3709176.0)",64565.592
"(3927.624, 3979.128)","(3548448.0, 3504936.0)",67086.624
"(6673.32, 6740.808)","(5987784.0, 6014424.0)",68160.216
"(4335.216, 4193.136)","(3782880.0, 3709176.0)",68311.176
"(3009.432, 2172.048)","(2614272.0, 1891440.0)",69066.864
"(5160.168, 4963.92)","(4652232.0, 4418688.0)",70819.776
"(6198.24, 6628.032)","(5435448.0, 5903424.0)",70843.752
"(5106.0, 5352.864)","(4610496.0, 4743696.0)",76974.504
"(3921.408, 3991.56)","(3548448.0, 3504936.0)",77156.544
"(3908.088, 3958.704)","(3548448.0, 3504936.0)",78754.944
"(3919.632, 4009.32)","(3548448.0, 3504936.0)",87529.272
"(5139.744, 4990.56)","(4652232.0, 4418688.0)",89082.384
"(6650.232, 6724.824)","(5987784.0, 6014424.0)",92823.528
"(6238.2, 6623.592)","(5494056.0, 5962920.0)",93036.648
"(7237.2, 7281.6)","(6445992.0, 6561432.0)",97315.92
"(4187.808, 4779.216)","(3668328.0, 4160280.0)",97695.096
"(4668.216, 5100.672)","(4063488.0, 4582968.0)",97854.048
"(5128.2, 4966.584)","(4652232.0, 4418688.0)",98744.712
"(4662.0, 5089.128)","(4063488.0, 4582968.0)",99525.264
"(3889.44, 3993.336)","(3548448.0, 3504936.0)",103183.824
"(6141.408, 5685.864)","(5551776.0, 5014536.0)",104093.136
"(5119.32, 4979.904)","(4652232.0, 4418688.0)",106332.672
"(4755.24, 5380.392)","(4289928.0, 4865352.0)",110423.688
"(7787.76, 7112.88)","(6810072.0, 6349200.0)",110490.288
"(5067.816, 5359.08)","(4610496.0, 4743696.0)",111313.464
"(6722.16, 6176.04)","(5948712.0, 5374176.0)",112051.392
"(5065.152, 5329.776)","(4610496.0, 4743696.0)",113163.168
"(2804.304, 3115.992)","(2468640.0, 2648016.0)",120926.064
"(4677.096, 5065.152)","(4063488.0, 4582968.0)",123707.28
"(6577.416, 5979.792)","(5948712.0, 5374176.0)",125572.08
"(6588.072, 5962.032)","(5948712.0, 5374176.0)",126829.488
"(6713.28, 6199.128)","(5948712.0, 5374176.0)",131263.272
"(3769.56, 3591.96)","(3222552.0, 3127536.0)",139423.104
"(4305.912, 4331.664)","(3782880.0, 3709176.0)",143265.48
"(3922.296, 5215.224)","(3520920.0, 4769448.0)",143432.424
"(4081.248, 4085.688)","(3548448.0, 3504936.0)",144560.184
"(6551.664, 5976.24)","(5948712.0, 5374176.0)",147117.624
"(4407.144, 4847.592)","(3966696.0, 4162944.0)",151356.936
"(4715.28, 5350.2)","(4289928.0, 4865352.0)",153756.312
"(4308.576, 4352.976)","(3782880.0, 3709176.0)",162110.616
"(4331.664, 4347.648)","(3782880.0, 3709176.0)",164355.48
"(1416.36, 1094.016)","(1427904.0, 991896.0)",171395.544
"(2559.216, 2013.096)","(2202240.0, 1630368.0)",172277.328
"(2529.912, 2037.072)","(2202240.0, 1630368.0)",183970.512
"(1401.264, 1094.904)","(1427904.0, 991896.0)",184626.744
"(1408.368, 1056.72)","(1427904.0, 991896.0)",185178.192
"(1403.928, 1073.592)","(1427904.0, 991896.0)",185270.544
"(3060.936, 1942.056)","(2614272.0, 1891440.0)",196561.464
"(3044.064, 1924.296)","(2614272.0, 1891440.0)",203130.888
"(3852.144, 3462.312)","(3222552.0, 3127536.0)",205118.232
"(2710.176, 2140.08)","(2614272.0, 1891440.0)",207828.408
"(4993.224, 5758.68)","(4590960.0, 4977240.0)",208003.344
"(3866.352, 3502.272)","(3222552.0, 3127536.0)",211494.96
"(6938.832, 6080.136)","(5948712.0, 5374176.0)",214431.576
"(6943.272, 6067.704)","(5948712.0, 5374176.0)",217361.088
"(3147.072, 3638.136)","(2875344.0, 3434784.0)",219509.16
"(3863.688, 3440.112)","(3222552.0, 3127536.0)",220724.832
"(3145.296, 3623.928)","(2875344.0, 3434784.0)",231843.48
"(4953.264, 5779.104)","(4590960.0, 4977240.0)",246868.44
"(2419.8, 2242.2)","(1910976.0, 1896768.0)",255823.032
"(3126.648, 3599.952)","(2875344.0, 3434784.0)",257748.216
"(3093.792, 3615.936)","(2875344.0, 3434784.0)",257875.2
"(2411.808, 2272.392)","(1910976.0, 1896768.0)",260568.504
"(2233.32, 1040.736)","(2178264.0, 1104672.0)",265771.296
"(3885.888, 3348.648)","(3222552.0, 3127536.0)",275197.416
"(2682.648, 1458.096)","(2178264.0, 1104672.0)",278802.696
"(2213.784, 1030.08)","(2178264.0, 1104672.0)",284971.632
"(2746.584, 2391.384)","(2614272.0, 1891440.0)",290872.392
"(8095.896, 7325.112)","(7056936.0, 6242640.0)",293525.736
"(4795.2, 4505.712)","(4457760.0, 4234872.0)",307427.376
"(2690.64, 2381.616)","(2614272.0, 1891440.0)",317081.712
