og_coord,starfish_coord,dist
"(5.642, 5.099)","(5.634, 5.088)",0.013
"(4.721, 4.484)","(4.706, 4.51)",0.03
"(4.281, 4.635)","(4.257, 4.617)",0.03
"(1.591, 1.236)","(1.57, 1.209)",0.034
"(2.284, 1.749)","(2.304, 1.785)",0.041
"(4.737, 4.479)","(4.706, 4.51)",0.043
"(2.489, 1.904)","(2.533, 1.919)",0.047
"(3.358, 3.238)","(3.408, 3.255)",0.054
"(5.704, 6.075)","(5.735, 6.027)",0.057
"(4.603, 4.928)","(4.654, 4.968)",0.064
"(7.032, 6.173)","(6.973, 6.14)",0.068
"(5.681, 6.083)","(5.735, 6.027)",0.077
"(4.664, 4.619)","(4.744, 4.634)",0.081
"(3.123, 2.791)","(3.165, 2.863)",0.083
"(6.931, 6.064)","(6.973, 6.14)",0.086
"(3.492, 3.219)","(3.408, 3.255)",0.091
"(4.882, 4.625)","(4.801, 4.679)",0.097
"(4.984, 4.948)","(4.971, 4.847)",0.102
"(2.561, 2.149)","(2.481, 2.213)",0.102
"(2.129, 1.645)","(2.028, 1.618)",0.104
"(4.771, 5.013)","(4.668, 4.995)",0.105
"(5.729, 5.427)","(5.633, 5.382)",0.107
"(3.318, 3.18)","(3.346, 3.072)",0.111
"(4.093, 4.65)","(4.137, 4.543)",0.115
"(3.436, 3.371)","(3.408, 3.255)",0.119
"(3.044, 3.638)","(2.977, 3.532)",0.126
"(5.573, 5.869)","(5.447, 5.877)",0.126
"(4.011, 4.523)","(4.137, 4.543)",0.128
"(3.991, 4.555)","(3.931, 4.668)",0.128
"(5.971, 6.02)","(5.984, 5.891)",0.129
"(1.439, 1.198)","(1.57, 1.209)",0.131
"(1.701, 1.218)","(1.57, 1.209)",0.132
"(1.422, 0.793)","(1.365, 0.914)",0.133
"(5.86, 5.94)","(5.984, 5.891)",0.134
"(5.53, 5.297)","(5.633, 5.382)",0.134
"(4.798, 4.412)","(4.706, 4.51)",0.134
"(3.026, 3.294)","(2.89, 3.298)",0.136
"(2.676, 2.449)","(2.787, 2.36)",0.141
"(3.682, 4.715)","(3.707, 4.576)",0.142
"(5.587, 5.831)","(5.447, 5.877)",0.147
"(5.889, 5.174)","(5.736, 5.162)",0.154
"(2.253, 1.968)","(2.232, 1.813)",0.156
"(2.179, 2.401)","(2.302, 2.303)",0.157
"(4.823, 5.023)","(4.668, 4.995)",0.157
"(1.673, 0.979)","(1.831, 0.986)",0.158
"(5.557, 5.243)","(5.633, 5.382)",0.159
"(2.633, 2.456)","(2.473, 2.437)",0.161
"(3.908, 4.145)","(3.943, 4.303)",0.162
"(4.027, 3.952)","(4.125, 4.093)",0.172
"(1.503, 1.022)","(1.365, 0.914)",0.176
"(5.909, 6.057)","(5.735, 6.027)",0.177
"(6.394, 6.455)","(6.279, 6.319)",0.178
"(5.165, 4.766)","(5.117, 4.946)",0.187
"(5.827, 5.325)","(5.736, 5.162)",0.187
"(5.171, 4.766)","(5.117, 4.946)",0.188
"(4.979, 4.396)","(5.096, 4.249)",0.188
"(5.194, 4.763)","(5.117, 4.946)",0.199
"(5.927, 5.228)","(5.736, 5.162)",0.203
"(2.182, 2.136)","(2.302, 2.303)",0.206
"(2.535, 1.568)","(2.319, 1.584)",0.217
"(5.139, 4.463)","(5.096, 4.249)",0.218
"(5.641, 5.769)","(5.447, 5.877)",0.221
"(1.804, 1.216)","(1.831, 0.986)",0.232
"(2.077, 2.234)","(2.302, 2.303)",0.235
"(3.532, 2.927)","(3.346, 3.072)",0.237
"(3.55, 3.461)","(3.408, 3.255)",0.25
"(2.642, 2.676)","(2.844, 2.517)",0.257
"(3.453, 2.828)","(3.346, 3.072)",0.266
"(3.596, 4.137)","(3.715, 4.404)",0.292
"(5.336, 5.373)","(5.633, 5.382)",0.297
"(3.41, 3.593)","(3.408, 3.255)",0.337
"(2.173, 1.253)","(2.319, 1.584)",0.362
"(3.843, 3.852)","(4.125, 4.093)",0.37
"(3.532, 4.077)","(3.715, 4.404)",0.375
"(6.823, 6.782)","(6.443, 6.684)",0.392
"(3.775, 3.847)","(4.125, 4.093)",0.428
"(3.748, 3.805)","(4.125, 4.093)",0.474
"(3.69, 3.717)","(3.408, 3.255)",0.541
"(3.455, 3.839)","(2.977, 3.532)",0.569
"(3.484, 3.867)","(3.715, 4.404)",0.584
"(3.538, 3.846)","(3.715, 4.404)",0.585
