og_coord,starfish_coord,dist
"(2.247, 1.809)","(2.232, 1.813)",0.015
"(4.145, 4.529)","(4.137, 4.543)",0.016
"(2.389, 2.115)","(2.406, 2.104)",0.021
"(4.14, 4.519)","(4.137, 4.543)",0.024
"(1.244, 0.972)","(1.246, 0.998)",0.026
"(1.258, 0.971)","(1.246, 0.998)",0.029
"(3.914, 4.305)","(3.943, 4.303)",0.029
"(2.273, 1.788)","(2.304, 1.785)",0.032
"(2.439, 2.124)","(2.406, 2.104)",0.038
"(1.247, 0.953)","(1.246, 0.998)",0.045
"(4.153, 4.498)","(4.137, 4.543)",0.048
"(5.504, 5.886)","(5.447, 5.877)",0.058
"(1.251, 0.938)","(1.246, 0.998)",0.06
"(3.421, 3.075)","(3.346, 3.072)",0.075
"(3.431, 3.055)","(3.346, 3.072)",0.087
"(3.347, 3.19)","(3.408, 3.255)",0.09
"(5.54, 5.882)","(5.447, 5.877)",0.093
"(3.433, 3.11)","(3.346, 3.072)",0.095
"(5.961, 5.505)","(6.061, 5.539)",0.105
"(4.564, 4.432)","(4.593, 4.533)",0.106
"(5.969, 5.484)","(6.061, 5.539)",0.107
"(4.223, 4.778)","(4.17, 4.872)",0.108
"(5.926, 5.986)","(5.984, 5.891)",0.111
"(5.905, 5.972)","(5.984, 5.891)",0.113
"(4.999, 5.174)","(4.991, 5.287)",0.113
"(2.795, 3.231)","(2.875, 3.311)",0.114
"(7.007, 6.252)","(6.973, 6.14)",0.117
"(4.658, 4.715)","(4.744, 4.634)",0.118
"(4.546, 4.422)","(4.593, 4.533)",0.121
"(4.187, 4.751)","(4.17, 4.872)",0.123
"(2.793, 3.218)","(2.875, 3.311)",0.124
"(6.427, 6.56)","(6.443, 6.684)",0.125
"(4.582, 4.408)","(4.593, 4.533)",0.126
"(2.661, 1.908)","(2.533, 1.919)",0.128
"(2.407, 1.9)","(2.533, 1.919)",0.128
"(4.554, 4.41)","(4.593, 4.533)",0.129
"(2.149, 1.991)","(2.058, 1.89)",0.136
"(2.672, 1.929)","(2.533, 1.919)",0.139
"(6.916, 6.316)","(6.818, 6.213)",0.142
"(3.451, 2.974)","(3.346, 3.072)",0.144
"(4.604, 4.689)","(4.744, 4.634)",0.15
"(2.776, 3.197)","(2.875, 3.311)",0.151
"(1.966, 0.915)","(1.831, 0.986)",0.152
"(2.142, 2.018)","(2.058, 1.89)",0.153
"(4.63, 4.741)","(4.744, 4.634)",0.155
"(3.719, 4.244)","(3.715, 4.404)",0.16
"(4.258, 4.001)","(4.125, 4.093)",0.162
"(2.747, 3.211)","(2.875, 3.311)",0.163
"(1.983, 0.924)","(1.831, 0.986)",0.164
"(5.818, 5.307)","(5.736, 5.162)",0.167
"(4.593, 4.715)","(4.744, 4.634)",0.171
"(6.162, 5.399)","(6.061, 5.539)",0.173
"(5.85, 5.294)","(5.736, 5.162)",0.175
"(5.841, 5.31)","(5.736, 5.162)",0.182
"(6.166, 5.388)","(6.061, 5.539)",0.184
"(5.454, 5.049)","(5.634, 5.088)",0.185
"(5.963, 5.375)","(6.061, 5.539)",0.191
"(6.427, 6.466)","(6.589, 6.356)",0.196
"(4.398, 5.132)","(4.277, 4.974)",0.2
"(3.483, 4.631)","(3.676, 4.552)",0.209
"(4.434, 5.114)","(4.277, 4.974)",0.211
"(2.53, 2.645)","(2.473, 2.437)",0.216
"(4.498, 4.733)","(4.593, 4.533)",0.221
"(4.534, 4.753)","(4.593, 4.533)",0.228
"(4.5, 4.759)","(4.593, 4.533)",0.244
"(3.47, 3.515)","(3.408, 3.255)",0.267
"(2.718, 1.725)","(2.533, 1.919)",0.268
"(2.703, 1.709)","(2.533, 1.919)",0.27
"(3.488, 3.533)","(3.408, 3.255)",0.289
"(3.454, 3.546)","(3.408, 3.255)",0.294
"(2.382, 1.295)","(2.319, 1.584)",0.296
"(3.482, 3.545)","(3.408, 3.255)",0.298
"(3.481, 3.56)","(3.408, 3.255)",0.313
"(2.49, 2.767)","(2.473, 2.437)",0.331
"(3.847, 3.861)","(4.125, 4.093)",0.362
"(3.826, 3.865)","(4.125, 4.093)",0.375
"(3.824, 3.847)","(4.125, 4.093)",0.389
"(7.189, 6.505)","(6.973, 6.14)",0.424
"(3.624, 3.628)","(3.408, 3.255)",0.431
"(3.85, 3.724)","(4.125, 4.093)",0.46
"(3.847, 3.698)","(4.125, 4.093)",0.483
