og_coord,goldstar_coord,dist
"(3126.648, 3599.952)","(3099.0, 3580.0)",34.095
"(4331.664, 4164.72)","(4365.0, 4157.0)",34.218
"(3093.792, 3615.936)","(3099.0, 3580.0)",36.311
"(3922.296, 5215.224)","(3935.0, 5176.0)",41.23
"(4335.216, 4193.136)","(4365.0, 4157.0)",46.828
"(7787.76, 7112.88)","(7828.0, 7159.0)",61.207
"(3145.296, 3623.928)","(3099.0, 3580.0)",63.82
"(4715.28, 5350.2)","(4691.0, 5282.0)",72.393
"(2710.176, 2140.08)","(2766.0, 2187.0)",72.923
"(5067.816, 5359.08)","(5060.0, 5432.0)",73.338
"(3147.072, 3638.136)","(3099.0, 3580.0)",75.437
"(7238.088, 7387.272)","(7230.0, 7469.0)",82.127
"(7237.2, 7281.6)","(7170.0, 7336.0)",86.459
"(5106.0, 5352.864)","(5060.0, 5432.0)",91.534
"(4755.24, 5380.392)","(4785.0, 5286.0)",98.972
"(5065.152, 5329.776)","(5060.0, 5432.0)",102.354
"(7890.768, 7040.064)","(7942.0, 6922.0)",128.701
"(3919.632, 4009.32)","(3944.0, 4141.0)",133.916
"(2682.648, 1458.096)","(2555.0, 1397.0)",141.516
"(2411.808, 2272.392)","(2551.0, 2318.0)",146.474
"(4993.224, 5758.68)","(5140.0, 5752.0)",146.928
"(2559.216, 2013.096)","(2547.0, 1866.0)",147.602
"(4081.248, 4085.688)","(3944.0, 4141.0)",147.974
"(3885.888, 3348.648)","(3786.0, 3239.0)",148.325
"(3921.408, 3991.56)","(3944.0, 4141.0)",151.138
"(2419.8, 2242.2)","(2551.0, 2318.0)",151.523
"(2690.64, 2381.616)","(2551.0, 2318.0)",153.448
"(3889.44, 3993.336)","(3944.0, 4141.0)",157.421
"(5629.032, 5827.056)","(5482.0, 5892.0)",160.736
"(3927.624, 3979.128)","(3944.0, 4141.0)",162.698
"(5172.6, 5310.24)","(5060.0, 5432.0)",165.844
"(4795.2, 4505.712)","(4702.0, 4365.0)",168.778
"(4662.0, 5089.128)","(4500.0, 5040.0)",169.285
"(2529.912, 2037.072)","(2547.0, 1866.0)",171.923
"(4308.576, 4352.976)","(4353.0, 4521.0)",173.797
"(4331.664, 4347.648)","(4353.0, 4521.0)",174.66
"(4668.216, 5100.672)","(4500.0, 5040.0)",178.823
"(4677.096, 5065.152)","(4500.0, 5040.0)",178.873
"(5214.336, 5338.656)","(5060.0, 5432.0)",180.368
"(2213.784, 1030.08)","(2097.0, 892.0)",180.844
"(4305.912, 4331.664)","(4365.0, 4157.0)",184.388
"(2233.32, 1040.736)","(2314.0, 1207.0)",184.805
"(3908.088, 3958.704)","(3944.0, 4141.0)",185.8
"(6238.2, 6623.592)","(6355.0, 6477.0)",187.434
"(4953.264, 5779.104)","(5140.0, 5752.0)",188.693
"(5185.032, 5280.936)","(5060.0, 5432.0)",196.095
"(6551.664, 5976.24)","(6407.0, 5834.0)",202.879
"(6713.28, 6199.128)","(6510.0, 6193.0)",203.372
"(2746.584, 2391.384)","(2766.0, 2187.0)",205.304
"(6722.16, 6176.04)","(6510.0, 6193.0)",212.837
"(4407.144, 4847.592)","(4500.0, 5040.0)",213.642
"(5245.416, 5310.24)","(5255.0, 5524.0)",213.975
"(3863.688, 3440.112)","(3786.0, 3239.0)",215.596
"(6198.24, 6628.032)","(6355.0, 6477.0)",217.679
"(6588.072, 5962.032)","(6407.0, 5834.0)",221.764
"(6577.416, 5979.792)","(6510.0, 6193.0)",223.613
"(3009.432, 2172.048)","(2963.0, 2399.0)",231.653
"(3852.144, 3462.312)","(3786.0, 3239.0)",232.902
"(2996.112, 2148.96)","(2766.0, 2187.0)",233.235
"(6715.056, 6052.608)","(6510.0, 6193.0)",248.511
"(6673.32, 6740.808)","(6925.0, 6760.0)",252.411
"(6141.408, 5685.864)","(6353.0, 5852.0)",269.021
"(5160.168, 4963.92)","(5432.0, 4933.0)",273.585
"(3866.352, 3502.272)","(3786.0, 3239.0)",275.261
"(6650.232, 6724.824)","(6925.0, 6760.0)",277.01
"(5119.32, 4979.904)","(4891.0, 5166.0)",294.553
"(5139.744, 4990.56)","(5432.0, 4933.0)",297.87
"(1416.36, 1094.016)","(1600.0, 1330.0)",299.019
"(5128.2, 4966.584)","(5432.0, 4933.0)",305.651
"(4187.808, 4779.216)","(4353.0, 4521.0)",306.535
"(1401.264, 1094.904)","(1600.0, 1330.0)",307.841
"(8095.896, 7325.112)","(7828.0, 7159.0)",315.217
"(3769.56, 3591.96)","(3507.0, 3412.0)",318.313
"(1403.928, 1073.592)","(1600.0, 1330.0)",322.784
"(1408.368, 1056.72)","(1600.0, 1330.0)",333.774
"(3060.936, 1942.056)","(3393.0, 2088.0)",362.72
"(2848.704, 2978.352)","(3212.0, 2913.0)",369.127
"(3044.064, 1924.296)","(2766.0, 2187.0)",382.535
"(6938.832, 6080.136)","(6510.0, 6193.0)",443.436
"(6943.272, 6067.704)","(6510.0, 6193.0)",451.025
"(2804.304, 3115.992)","(3212.0, 2913.0)",455.436
